Epoch,Batch,Total_Loss,Loss_Per_Token
1,0,10.373490333557129,10.373490333557129
1,5,10.373489379882812,10.373489379882812
1,10,10.373464584350586,10.373464584350586
1,15,10.373401641845703,10.373401641845703
1,20,10.373160362243652,10.373160362243652
1,25,10.37247371673584,10.37247371673584
1,30,10.370473861694336,10.370473861694336
1,35,10.365273475646973,10.365273475646973
1,40,10.355645179748535,10.355645179748535
1,45,10.333151817321777,10.333151817321777
1,50,10.26943588256836,10.26943588256836
1,55,10.149637222290039,10.149637222290039
1,60,9.939236640930176,9.939236640930176
1,65,9.346652030944824,9.346652030944824
1,70,8.558489799499512,8.558489799499512
1,75,7.83276891708374,7.83276891708374
1,80,7.630891799926758,7.630891799926758
1,85,7.457370281219482,7.457370281219482
1,90,7.5111236572265625,7.5111236572265625
1,95,7.381282806396484,7.381282806396484
1,100,7.029628276824951,7.029628276824951
1,105,7.303771495819092,7.303771495819092
1,110,6.866586208343506,6.866586208343506
1,115,7.126245021820068,7.126245021820068
1,120,7.102534770965576,7.102534770965576
1,125,7.005876541137695,7.005876541137695
1,130,6.7006096839904785,6.7006096839904785
1,135,6.925500392913818,6.925500392913818
1,140,6.811434268951416,6.811434268951416
1,145,6.301157474517822,6.301157474517822
1,150,6.937816619873047,6.937816619873047
1,155,6.788426399230957,6.788426399230957
1,160,6.713106632232666,6.713106632232666
1,165,6.728878498077393,6.728878498077393
1,170,6.776374816894531,6.776374816894531
1,175,6.159364223480225,6.159364223480225
1,180,6.76715087890625,6.76715087890625
1,185,6.785524845123291,6.785524845123291
1,190,6.599101543426514,6.599101543426514
1,195,6.960330009460449,6.960330009460449
1,200,6.553836822509766,6.553836822509766
1,205,6.774441719055176,6.774441719055176
1,210,6.301825523376465,6.301825523376465
1,215,6.56915807723999,6.56915807723999
1,220,6.333255767822266,6.333255767822266
1,225,6.860546112060547,6.860546112060547
1,230,6.2492146492004395,6.2492146492004395
1,235,6.484753608703613,6.484753608703613
1,240,6.01403284072876,6.01403284072876
1,245,6.766819953918457,6.766819953918457
2,0,6.197405815124512,6.197405815124512
2,5,6.453065395355225,6.453065395355225
2,10,6.223011493682861,6.223011493682861
2,15,6.411256790161133,6.411256790161133
2,20,6.253377914428711,6.253377914428711
2,25,6.422086715698242,6.422086715698242
2,30,6.32587194442749,6.32587194442749
2,35,6.18749475479126,6.18749475479126
2,40,6.359942436218262,6.359942436218262
2,45,6.222085952758789,6.222085952758789
2,50,6.344909191131592,6.344909191131592
2,55,6.403126239776611,6.403126239776611
2,60,6.4087653160095215,6.4087653160095215
2,65,6.204084396362305,6.204084396362305
2,70,6.531545639038086,6.531545639038086
2,75,6.472599029541016,6.472599029541016
2,80,6.4862751960754395,6.4862751960754395
2,85,6.03440523147583,6.03440523147583
2,90,6.527644634246826,6.527644634246826
2,95,5.999637603759766,5.999637603759766
2,100,5.9330363273620605,5.9330363273620605
2,105,6.376477241516113,6.376477241516113
2,110,6.376820087432861,6.376820087432861
2,115,6.425528526306152,6.425528526306152
2,120,5.979619979858398,5.979619979858398
2,125,6.377808570861816,6.377808570861816
2,130,6.087206840515137,6.087206840515137
2,135,6.32524299621582,6.32524299621582
2,140,6.200223922729492,6.200223922729492
2,145,6.28853178024292,6.28853178024292
2,150,6.428861141204834,6.428861141204834
2,155,5.878776550292969,5.878776550292969
2,160,5.89667272567749,5.89667272567749
2,165,5.651732921600342,5.651732921600342
2,170,6.184199333190918,6.184199333190918
2,175,5.78143310546875,5.78143310546875
2,180,6.031278133392334,6.031278133392334
2,185,5.710208892822266,5.710208892822266
2,190,6.309772968292236,6.309772968292236
2,195,5.8590521812438965,5.8590521812438965
2,200,6.12253999710083,6.12253999710083
2,205,5.9863409996032715,5.9863409996032715
2,210,5.9465556144714355,5.9465556144714355
2,215,5.81960391998291,5.81960391998291
2,220,6.0260820388793945,6.0260820388793945
2,225,6.16786527633667,6.16786527633667
2,230,5.808878421783447,5.808878421783447
2,235,5.624897003173828,5.624897003173828
2,240,5.767937183380127,5.767937183380127
2,245,5.931858062744141,5.931858062744141
3,0,5.865878582000732,5.865878582000732
3,5,5.800535678863525,5.800535678863525
3,10,6.042723655700684,6.042723655700684
3,15,6.051167011260986,6.051167011260986
